Total Time,Rating,Votes,Notes,Date Published,Steps,Ingredients,Serving Size
30 minutes,5,379,17,,4,13,3 to 4 servings
1 hour 45 minutes,4,525,55,,6,10,4 servings
10 minutes,4,525,40,,2,11,1 serving
2 hours,4,415,41,"Feb. 29, 2024",3,13,4 servings
30 minutes,4,"1,363",158,,5,12,4 servings
1 hour 15 minutes,5,598,68,,3,14,6 servings
1 hour,4,833,49,,4,7,4 servings
"2 hours, plus chilling",4,"4,353",404,"Feb. 28, 2024",9,15,6 to 8 servings
1 hour,4,"4,403",388,"Oct. 11, 2023",6,8,4 to 6 servings
1 hour 5 minutes,4,432,54,"Oct. 12, 2023",3,13,4 to 6 servings
20 minutes,4,102,9,"Nov. 27, 2023",3,9,4 to 6 servings
50 minutes,4,56,21,"Feb. 1, 2024",6,16,4 servings
15 minutes,4,63,15,"Oct. 11, 2023",3,7,4 to 6 servings
About 2 hours,4,268,57,"Nov. 26, 2023",5,13,6 to 8 servings
"4½ hours, plus cooling",4,151,46,,6,18,8 to 10 servings
1 hour,4,93,12,"Feb. 6, 2024",8,10,4 servings
1 hour 15 minutes,4,167,27,"Oct. 11, 2023",8,17,6 servings
20 minutes,4,117,14,,2,7,6 servings
55 minutes,5,751,83,"Jan. 23, 2024",5,13,4 to 6 servings
30 minutes,4,636,62,,3,8,4 servings
"45 minutes, plus overnight cooling",5,115,48,,4,6,6 servings
1 hour 10 minutes,4,123,15,,4,9,6 servings
2 hours,4,33,20,"March 5, 2024",6,20,6 servings
45 minutes,4,713,79,"Oct. 11, 2023",4,9,4 to 6 servings
55 minutes,5,"1,736",121,"Oct. 26, 2023",4,18,4 to 6 servings
20 minutes,4,730,78,,4,7,4 servings
30 minutes,4,295,18,"March 13, 2024",3,6,4 to 6 servings
30 minutes,4,"1,918",97,,8,7,4 servings
20 minutes,5,"7,152",621,,4,13,4 servings
1 hour 15 minutes,4,133,6,,14,22,"4 servings, plus leftover pasta and sauce"
"20 minutes, plus cooling",4,"1,225",74,,6,14,4 to 6 servings
